Stadium,Seating Capacity,Region,Country,City,Image,Home Teams,Latitude,Longitude
Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,,,30.05518,107.8748712
Kazimierz Górski National Stadium ,58580,Europe,Poland,Warsaw,,Poland national football team,52.2319581,21.0067249
Stadio San Nicola,58270,Europe,Italy,"Bari, Apulia",,SSC Bari,41.1257843,16.8620293
Commanders Field,58000,North America,United States,"Landover, Maryland",,Washington Commanders,38.9340002,-76.8966397
Deutsche Bank Park,58000,Europe,Germany,Frankfurt,,Eintracht Frankfurt,50.1106444,8.6820917
Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,,,37.3886303,-5.9953403
Carter–Finley Stadium,57583,North America,United States,"Raleigh, North Carolina",,NC State Wolfpack football,35.7803977,-78.6390989
Estadio Alberto J. Armando,57200,South America,Argentina,Buenos Aires,,CA Boca Juniors,-34.6073387,-58.4432852
Volksparkstadion,57030,Europe,Germany,Hamburg,,Hamburger SV,53.550341,10.000654
Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,,"Talleres de Córdoba, some Belgrano de Córdoba matches.",-31.4166867,-64.1834193
Jinan Olympic Sports Centre Stadium,56808,East Asia,China,"Jinan, Shandong",,Shandong Taishan,36.6705337,116.985375
Estadio Jalisco,56713,North America,Mexico,"Guadalajara, Jalisco",,Atlas,20.6720375,-103.338396
Commonwealth Stadium,56302,North America,Canada,"Edmonton, Alberta",,"Edmonton Elks, Canadian men's and women's national teams",53.5462055,-113.491241
Dodger Stadium,56000,North America,United States,Los Angeles,,Los Angeles Dodgers,34.0536909,-118.242766
Stade du 19-mai-1956,56000,Africa,Algeria,Annaba,,USM Annaba,36.8982165,7.7549272
Estadi Olímpic Lluís Companys,55926,Europe,Spain,"Barcelona, Catalonia",,,41.3828939,2.1774322
Arena do Grêmio,55662,South America,Brazil,"Porto Alegre, Rio Grande do Sul",,Grêmio FBPA,-30.0324999,-51.2303767
Arena Națională ,55634,Europe,Romania,Bucharest,,Romania national football team,44.4361414,26.1027202
Stadion Rajko Mitić ,55538,Europe,Serbia,Belgrade,,"Red Star Belgrade, Serbia national football team",44.8178131,20.4568974
Stadion Śląski,55211,Europe,Poland,Chorzów,,"Poland national football team, Ruch Chorzów",50.288556299999996,18.97044253093511
Mestalla,55000,Europe,Spain,Valencia,,Valencia CF,39.4697065,-0.3763353
National Stadium ,55000,Southeast Asia,Singapore,Singapore,,Singapore national football team,1.357107,103.8194992
National Stadium ,55000,East Asia,Taiwan,Kaohsiung,,Chinese Taipei national football team,22.6203348,120.3120375
He Long Stadium,55000,East Asia,China,"Changsha, Hunan",,,28.1450774,113.2384362
Cape Town Stadium,55000,Africa,South Africa,"Cape Town, Western Cape",,"Cape Town City FC, DHL Western Cape Stormers",-33.928992,18.417396
Plovdiv Stadium ,55000,Europe,Bulgaria,Plovdiv,,,42.1418541,24.7499297
Bobby Dodd Stadium,55000,North America,United States,Atlanta,,Georgia Tech Yellow Jackets football,33.7489924,-84.3902644
Johan Cruijff Arena ,54990,Europe,Netherlands,Amsterdam,,AFC Ajax,52.3730796,4.8924534
Tianhe Stadium,54856,East Asia,China,"Guangzhou, Guangdong",,,23.1301964,113.2592945
Stadio Diego Armando Maradona,54726,Europe,Italy,Naples,,SSC Napoli,40.8358846,14.2487679
Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,,Tianjin Teda,39.1175488,117.1913008
MERKUR SPIEL-ARENA,54600,Europe,Germany,Düsseldorf,,Fortuna Düsseldorf,51.2254018,6.7763137
Boris Paitchadze Dinamo Arena ,54549,West Asia,Georgia,Tbilisi,,"Georgia national football team, FC Dinamo Tbilisi",41.6934591,44.8014495
Wuhan Sports Centre Stadium,54357,East Asia,China,"Wuhan, Hubei",,,30.5951051,114.2999353
BC Place Stadium,54320,North America,Canada,"Vancouver, British Columbia",,"Vancouver Whitecaps FC, BC Lions",49.2608724,-123.113952
